,District,PROPERTY Address,PROPERTY Boro-Block-Lot,PROPERTY Building Classification,PROPERTY Condo Section,PROPERTY Full Market Value,PROPERTY Gross Income per SqFt,PROPERTY Gross SqFt,PROPERTY Market Value per SqFt,PROPERTY Neighborhood,PROPERTY Total Units,PROPERTY Year Built,RENTAL 1 Address,RENTAL 1 Boro-Block-Lot,RENTAL 1 Building Classification,RENTAL 1 Full Market Value,RENTAL 1 Gross Income per SqFt,RENTAL 1 Gross SqFt,RENTAL 1 Market Value per SqFt,RENTAL 1 Neighborhood,RENTAL 1 Total Units,RENTAL 1 Year Built,Year
4194,Brooklyn,105 KINGS HIGHWAY,3-06253-7502,R4-ELEVATOR,1215-R1,3169999,20.48,35700,89,BENSONHURST,19,2003,6713 19 AVENUE,3-05570-0001,C7-WALK-UP,1100000,11.56,34000,32.4,BENSONHURST,41,1928,2010
4195,Brooklyn,7902 15 AVENUE,3-06269-7501,R2-WALK-UP,948-R1,1710000,28.4,12559,136,BENSONHURST,23,2002,677 CLASSON AVENUE,3-01149-0006,C1-WALK-UP,717000,28.4,6100,118,CROWN HEIGHTS,16,1990,2010
4196,Brooklyn,8405 13 AVENUE,3-06322-7501,R2-WALK-UP,174-R1,933000,22.32,9626,97,DYKER HEIGHTS,12,1987,98 GRAND AVENUE,3-01892-0061,C1-WALK-UP,2310000,22.32,25000,92,CLINTON HILL,26,1946,2010
4197,Brooklyn,147 BAY 20 STREET,3-06405-7501,R4-ELEVATOR,18-R1,939999,0,14462,65,BATH BEACH,16,1985,2920 WEST 21 STREET,3-07058-0013,D1-ELEVATOR,7760000,15.86,230836,33.6,CONEY ISLAND,224,1975,2010
4198,Brooklyn,153/-59 BAY 26 STREET,3-06411-7501,R9-CONDOPS,7-R1,599000,0,18964,31.6,BATH BEACH,28,1922,2137 CROPSEY AVENUE,3-06446-0001,C1-WALK-UP,1020000,9.85,43600,23.39,BATH BEACH,41,1921,2010
4199,Brooklyn,8686 BAY PARKWAY,3-06414-7501,R4-ELEVATOR,2116-R1,2460000,10.16,78042,31.5,BATH BEACH,32,2007,8785 BAY 16 STREET,3-06434-0021,C1-WALK-UP,647000,9.28,29336,22.05,BATH BEACH,34,1927,2010
4200,Brooklyn,1428 BATH AVENUE,3-06425-7501,R2-WALK-UP,1374-R1,970000,16.1,15224,64,BATH BEACH,12,2001,4018 5 AVENUE,3-00714-0044,C7-WALK-UP,1390000,16.69,24620,56,SUNSET PARK,32,1906,2010
4201,Brooklyn,182 BAY 22 STREET,3-06439-7501,R2-WALK-UP,311-R1,452003,10.3,14115,32,BATH BEACH,16,1933,195 BAY 29 STREET,3-06447-0018,C1-WALK-UP,386000,12.26,13230,29.2,BATH BEACH,14,1931,2010
4202,Brooklyn,622 FOSTER AVENUE,3-06494-7501,R4-ELEVATOR,2209-R1,4800000,22,52645,91,OCEAN PARKWAY-NORTH,35,2006,378 93 STREET,3-06107-0033,D1-ELEVATOR,800000,20.27,10555,76,BAY RIDGE,12,2003,2010
4203,Brooklyn,1189 OCEAN PARKWAY,3-06532-7501,R4-ELEVATOR,2365-R1,4310000,36,25685,168,OCEAN PARKWAY-NORTH,13,2007,1320 CONEY ISLAND AVENUE,3-06523-0023,C7-WALK-UP,1350000,17.1,23400,58,OCEAN PARKWAY-NORTH,36,1926,2010
